transaction_id,customer_id,customer_age,customer_gender,income_group,bank_name,card_type,transaction_amount,transaction_type,transaction_time,transaction_location,state,device_type,operating_system,merchant_category,previous_transactions_count,account_balance,international_transaction,failed_login_attempts,suspicious_ip_flag,new_device_login,risk_score,is_fraud
TXN0000001,CUST402537,49,Male,Upper-Middle,Bandhan Bank,Visa,5085.46,Debit Card,10/25/2025,Nagpur,Gujarat,desktop,Android,Fuel,91,1155988.45,0,8,0,0,15,0
TXN0000002,CUST590435,37,Male,Low,HSBC India,RuPay,5918.67,Credit Card,7/7/2025,Agra,Uttar Pradesh,POS,Linux,Healthcare,61,637335.71,0,5,0,0,0,0
TXN0000003,CUST488921,63,Female,Low,PNB,RuPay,202.21,IMPS,7/27/2025,Delhi,Delhi,POS,iOS,Entertainment,1,103279.87,0,6,0,0,25,0
TXN0000004,CUST289957,62,Male,Low,ICICI,Visa,1317.15,Credit Card,3/19/2025,Chandigarh,Jammu & Kashmir,POS,Android,Insurance,145,1162845.82,0,5,0,1,15,0
TXN0000005,CUST568164,26,Male,Middle,Canara Bank,MasterCard,8092.44,ATM Withdrawal,8/24/2025,Prayagraj,Karnataka,mobile,Windows,Fuel,45,90952.53,1,10,0,1,50,1
TXN0000006,CUST217642,51,Female,Middle,Axis Bank,MasterCard,12566.02,IMPS,5/23/2025,Agra,Maharashtra,mobile,Linux,Insurance,23,690935.62,0,5,0,0,0,0
TXN0000007,CUST661352,38,Female,Low,Kotak Mahindra,MasterCard,2566.74,Credit Card,10/19/2025,Jabalpur,Jharkhand,POS,Linux,Shopping,61,1118815.81,0,5,0,0,10,0
TXN0000008,CUST312232,61,Female,Middle,Kotak Mahindra,MasterCard,15684.71,Credit Card,9/22/2025,Shimla,Madhya Pradesh,ATM,Windows,Healthcare,30,1323763.49,0,2,0,0,10,0
TXN0000009,CUST559819,60,Male,Upper-Middle,Indian Bank,RuPay,8949.46,RTGS,4/15/2025,Varanasi,Delhi,POS,Android,Shopping,62,620667.10,0,0,1,0,20,0
TXN0000010,CUST825730,35,Male,Low,HSBC India,MasterCard,1474.52,Credit Card,8/20/2025,Bangalore,Uttarakhand,mobile,iOS,Fuel,36,1071873.54,0,9,0,0,15,0
TXN0000011,CUST869167,30,Male,Middle,South Indian Bank,RuPay,5655.63,RTGS,8/2/2025,Nagpur,Andhra Pradesh,desktop,Android,Healthcare,61,1344801.62,0,0,0,0,10,0
TXN0000012,CUST234346,54,Female,Middle,Axis Bank,Visa,3038.48,UPI,12/16/2025,Aurangabad,Andhra Pradesh,mobile,Windows,Bills,26,1132062.67,0,3,1,0,20,0
TXN0000013,CUST858369,70,Female,High,Kotak Mahindra,RuPay,1405.33,Credit Card,12/25/2025,Surat,Delhi,desktop,Windows,Bills,135,1347240.23,0,4,0,0,10,0
TXN0000014,CUST387053,66,Male,Middle,Union Bank,Visa,10779.44,RTGS,8/29/2025,Bhopal,Madhya Pradesh,ATM,Android,Bills,38,197069.36,0,6,0,0,15,0
TXN0000015,CUST991124,21,Female,Upper-Middle,ICICI,Visa,23564.17,UPI,10/31/2025,Ranchi,Jharkhand,POS,Android,Bills,94,69993.36,0,10,1,0,35,0
TXN0000016,CUST295391,44,Female,Upper-Middle,IndusInd,RuPay,1850.98,RTGS,1/30/2025,Bhavnagar,Goa,ATM,Linux,Travel,32,1138009.39,0,6,0,0,15,0
TXN0000017,CUST212558,63,Male,High,Canara Bank,MasterCard,610.82,Credit Card,9/22/2025,Udaipur,Goa,ATM,iOS,Electronics,59,1415937.89,0,4,0,0,0,0
TXN0000018,CUST164217,61,Female,Upper-Middle,IndusInd,MasterCard,6476.41,IMPS,5/5/2025,Meerut,Karnataka,desktop,Linux,Bills,16,1145563.83,0,7,0,0,25,0
TXN0000019,CUST232376,53,Female,Middle,Indian Bank,RuPay,9139.27,NEFT,12/22/2025,Udaipur,Gujarat,desktop,Android,Education,26,285628.70,0,9,0,0,25,0
TXN0000020,CUST623307,45,Female,Low,Yes Bank,MasterCard,2263.06,NEFT,9/1/2025,Surat,Himachal Pradesh,ATM,iOS,Shopping,123,15591.49,0,2,0,0,10,0
TXN0000021,CUST358021,58,Male,Upper-Middle,Kotak Mahindra,RuPay,8093.09,Credit Card,6/14/2025,Thane,Jharkhand,POS,Windows,Healthcare,58,862170.15,1,4,0,1,45,1
TXN0000022,CUST213475,51,Female,Middle,PNB,Visa,5106.75,Wallet,5/31/2025,Mysore,Haryana,desktop,iOS,Food,40,125210.79,0,6,0,1,30,0
TXN0000023,CUST163952,63,Female,Low,Yes Bank,Visa,347.90,Debit Card,12/15/2025,Coimbatore,Maharashtra,desktop,Android,Bills,77,550631.18,0,0,0,0,0,0
TXN0000024,CUST112876,49,Female,Middle,Canara Bank,MasterCard,1038.44,Credit Card,9/16/2025,Indore,Karnataka,POS,Linux,Electronics,135,1053529.01,0,10,0,0,15,0
TXN0000025,CUST172514,21,Male,High,AU Small Finance,MasterCard,1448.89,RTGS,1/20/2025,Kochi,Uttar Pradesh,desktop,iOS,Education,124,307877.16,0,5,0,0,0,0
TXN0000026,CUST474009,62,Male,Middle,HSBC India,MasterCard,36193.04,Credit Card,3/11/2025,Lucknow,Goa,ATM,Windows,Insurance,68,508970.92,0,4,0,1,15,0
TXN0000027,CUST423537,41,Male,Middle,Union Bank,Visa,5147.49,NEFT,3/16/2025,Delhi,Madhya Pradesh,mobile,Windows,Education,132,413679.52,0,8,0,1,30,0
TXN0000028,CUST518224,23,Female,Upper-Middle,Axis Bank,MasterCard,6052.36,ATM Withdrawal,6/27/2025,Jabalpur,Punjab,ATM,Linux,Food,61,864994.75,0,3,0,0,10,0
TXN0000029,CUST215502,23,Male,Upper-Middle,IDFC First,RuPay,9291.40,ATM Withdrawal,5/13/2025,Surat,Andhra Pradesh,mobile,iOS,Entertainment,18,507214.56,0,7,0,0,15,0
TXN0000030,CUST736725,64,Male,High,HDFC,RuPay,5465.62,IMPS,12/15/2025,Nashik,Kerala,mobile,iOS,Travel,71,295382.84,0,3,1,0,30,0
TXN0000031,CUST942860,50,Male,Low,UCO Bank,Visa,17105.30,ATM Withdrawal,2/13/2025,Visakhapatnam,Tamil Nadu,POS,iOS,Entertainment,108,791551.83,0,2,0,0,0,0
TXN0000032,CUST335052,21,Male,Middle,Canara Bank,Visa,11548.91,Credit Card,10/9/2025,Faridabad,Rajasthan,POS,Android,Food,46,76848.94,0,1,0,1,15,0
TXN0000033,CUST992705,41,Male,Middle,Union Bank,MasterCard,3610.84,IMPS,4/20/2025,Faridabad,Delhi,POS,iOS,Entertainment,63,902808.38,0,10,0,0,15,0
TXN0000034,CUST926631,43,Female,Low,HDFC,RuPay,3093.72,IMPS,1/6/2025,Madurai,Jammu & Kashmir,mobile,Linux,Bills,18,965269.02,0,1,1,0,30,0
TXN0000035,CUST436531,54,Male,Middle,Bandhan Bank,MasterCard,21384.92,Debit Card,2/27/2025,Kanpur,Delhi,desktop,iOS,Shopping,87,277956.32,0,2,0,0,0,0
TXN0000036,CUST365491,44,Male,High,Union Bank,Visa,2947.23,Credit Card,9/3/2025,Noida,Maharashtra,desktop,Windows,Healthcare,74,159348.26,0,8,0,0,15,0
TXN0000037,CUST364153,33,Male,Low,IndusInd,Visa,14022.54,ATM Withdrawal,11/1/2025,Visakhapatnam,Uttarakhand,mobile,Windows,Travel,128,695594.94,0,9,1,1,50,1
TXN0000038,CUST169492,53,Male,Upper-Middle,Kotak Mahindra,RuPay,12415.14,UPI,5/24/2025,Meerut,West Bengal,POS,Android,Healthcare,101,1498517.75,0,8,0,0,25,0
TXN0000039,CUST531852,27,Male,Upper-Middle,Indian Bank,RuPay,5407.78,ATM Withdrawal,7/5/2025,Tirupati,Jammu & Kashmir,ATM,iOS,Bills,126,1438968.04,0,4,0,0,0,0
TXN0000040,CUST553431,48,Female,Upper-Middle,HSBC India,RuPay,17899.58,Wallet,12/11/2025,Noida,West Bengal,ATM,iOS,Insurance,96,1146499.76,0,5,0,0,10,0
TXN0000041,CUST883122,66,Female,Upper-Middle,Canara Bank,RuPay,715.36,NEFT,6/7/2025,Thane,Jammu & Kashmir,mobile,Linux,Shopping,143,352893.70,1,8,0,0,45,1
TXN0000042,CUST844927,52,Female,Low,UCO Bank,MasterCard,759.71,ATM Withdrawal,6/16/2025,Vadodara,Tamil Nadu,POS,Windows,Electronics,116,253718.71,0,3,0,0,0,0
TXN0000043,CUST869360,51,Female,Low,Axis Bank,Visa,8463.07,NEFT,9/20/2025,Dhanbad,Telangana,desktop,Linux,Healthcare,81,490482.13,0,7,1,0,35,0
TXN0000044,CUST366313,46,Male,Upper-Middle,HDFC,Visa,15481.53,UPI,4/12/2025,Jabalpur,Haryana,desktop,Android,Bills,14,720502.55,0,3,0,0,10,0
TXN0000045,CUST266713,52,Female,Middle,Canara Bank,MasterCard,1216.81,RTGS,12/20/2025,Faridabad,West Bengal,mobile,Linux,Healthcare,11,922172.78,0,8,1,0,45,1
TXN0000046,CUST978304,28,Female,Upper-Middle,PNB,RuPay,2256.62,Wallet,11/8/2025,Prayagraj,Uttarakhand,ATM,iOS,Education,116,728322.64,0,7,0,0,15,0
TXN0000047,CUST756966,46,Female,High,Bank of Baroda,MasterCard,7813.69,UPI,8/2/2025,Bareilly,Madhya Pradesh,desktop,Android,Insurance,18,1478635.88,0,10,0,0,25,0
TXN0000048,CUST404510,50,Female,High,IDFC First,RuPay,1256.43,IMPS,4/14/2025,Chennai,West Bengal,desktop,Android,Electronics,147,1496983.74,1,7,0,0,35,0
TXN0000049,CUST330452,50,Male,High,Federal Bank,Visa,8459.88,NEFT,9/14/2025,Jaipur,Haryana,mobile,Windows,Electronics,31,1126150.67,0,5,0,0,0,0
TXN0000050,CUST568016,65,Male,Low,South Indian Bank,Visa,4681.03,Wallet,9/24/2025,Faridabad,Jharkhand,mobile,iOS,Insurance,108,490464.58,0,9,0,0,15,0
TXN0000051,CUST879310,64,Male,High,AU Small Finance,RuPay,7990.88,NEFT,8/17/2025,Kolkata,Rajasthan,mobile,Android,Electronics,26,1205451.51,0,9,0,0,15,0
TXN0000052,CUST289340,23,Male,Low,UCO Bank,RuPay,5160.40,UPI,8/1/2025,Thane,Uttarakhand,desktop,Linux,Shopping,27,1459859.94,0,1,0,0,0,0
TXN0000053,CUST341413,61,Male,High,AU Small Finance,Visa,310.57,Credit Card,11/21/2025,Madurai,Uttar Pradesh,desktop,iOS,Healthcare,73,138717.61,0,4,1,0,20,0
TXN0000054,CUST788495,70,Male,High,Union Bank,MasterCard,1774.65,Wallet,8/20/2025,Mysore,Uttar Pradesh,POS,Windows,Electronics,143,943286.39,0,6,0,0,25,0
TXN0000055,CUST408035,34,Male,Upper-Middle,IDFC First,MasterCard,5993.04,NEFT,9/5/2025,Kochi,Bihar,ATM,Android,Electronics,111,1001757.30,0,1,0,0,10,0
TXN0000056,CUST587453,61,Male,Low,Union Bank,MasterCard,898.28,ATM Withdrawal,11/17/2025,Chandigarh,Madhya Pradesh,ATM,iOS,Fuel,58,9670.87,0,10,0,0,15,0
TXN0000057,CUST908420,19,Male,Middle,UCO Bank,RuPay,4853.66,NEFT,9/4/2025,Vadodara,Punjab,desktop,Linux,Healthcare,135,1153518.86,0,1,0,0,10,0
TXN0000058,CUST419003,57,Female,High,ICICI,Visa,1039.58,IMPS,12/19/2025,Udaipur,Madhya Pradesh,ATM,Linux,Shopping,61,1308548.11,0,5,0,0,10,0
TXN0000059,CUST568820,50,Male,Upper-Middle,Kotak Mahindra,Visa,379.78,NEFT,3/25/2025,Bhavnagar,Rajasthan,POS,Windows,Fuel,128,1084786.93,1,10,0,0,35,0
TXN0000060,CUST931939,33,Female,Middle,AU Small Finance,MasterCard,1374.46,UPI,9/29/2025,Goa,Haryana,desktop,iOS,Electronics,88,797182.15,0,8,0,0,15,0
TXN0000061,CUST831253,67,Female,Low,ICICI,RuPay,4088.39,Debit Card,2/27/2025,Ranchi,Tamil Nadu,mobile,iOS,Fuel,19,356979.63,1,1,0,0,20,0
TXN0000062,CUST478243,46,Female,Upper-Middle,ICICI,MasterCard,14702.50,NEFT,4/12/2025,Bangalore,Haryana,ATM,Windows,Travel,126,1335809.03,0,9,0,0,15,0
TXN0000063,CUST732401,18,Male,High,South Indian Bank,MasterCard,20867.85,Debit Card,4/4/2025,Prayagraj,Delhi,desktop,Linux,Electronics,6,27532.72,0,6,0,0,15,0
TXN0000064,CUST641542,64,Female,Upper-Middle,Union Bank,MasterCard,4552.86,Credit Card,9/21/2025,Aurangabad,Jammu & Kashmir,mobile,Android,Electronics,104,1445927.72,0,1,1,0,30,0
TXN0000065,CUST743892,24,Female,Low,Bandhan Bank,MasterCard,4327.83,Wallet,1/27/2025,Goa,West Bengal,ATM,Android,Food,79,586157.58,0,9,0,0,15,0
TXN0000066,CUST901973,68,Female,Low,Indian Bank,RuPay,7099.04,Debit Card,1/25/2025,Pune,Haryana,desktop,iOS,Entertainment,140,728168.39,0,0,0,0,0,0
TXN0000067,CUST847711,44,Male,Low,UCO Bank,MasterCard,2747.23,RTGS,4/27/2025,Bhopal,Uttar Pradesh,mobile,iOS,Electronics,9,1348398.04,1,9,0,0,35,0
TXN0000068,CUST129340,42,Male,Middle,Axis Bank,RuPay,875.59,Debit Card,11/11/2025,Noida,Andhra Pradesh,ATM,iOS,Entertainment,4,372460.76,0,2,0,1,15,0
